,pianist,track,duration,album,composition,setting,split
974,Bill Evans,jtd/evansb-howamitoknow-chamberspjoep-1961-888431a7,187.93880208333331,Bill Evans (The Complete Riverside Recordings),how am i to know,trio,train
975,Bill Evans,jtd/evansb-turnoutthestars-gomezedejohnettej-1967-d9368088,69.98958333333333,Bill Evans (Another Time  The Hilversum Concert),turn out the stars,trio,train
976,Bill Evans,jtd/evansb-likesomeoneilove-johnsonmlabarberaj-1980-62b3c57e,76.66927083333333,Bill Evans (Consecration),like someone in love,trio,train
977,Bill Evans,jtd/evansb-whocaniturnto-gomezemorellm-1972-a5ebb859,102.5,Bill Evans (Yesterday I Heard the Rain),who can i turn to,trio,train
978,Thelonious Monk,jtd/monkt-offminor-rameygblakeya-1949-75d059f9,119.98958333333333,Thelonious Monk (The Complete Genius),off minor,trio,train
979,Bill Evans,jtd/evansb-whatisthisthingcalled-israelscbunkerl-1966-dd280ffb,59.98958333333333,Bill Evans (The Complete Bill Evans on Verve),what is this thing called love,trio,train
980,Cedar Walton,jtd/waltonc-goldenearrings-williamsbjonesw-2010-ec16ac3d,129.98958333333331,Cedar Walton (Song of Delilah  The Music of Victor Young),golden earrings,trio,train
981,Ahmad Jamal,jtd/jamala-angeleyes-crosbyifournierv-1961-69a58683,79.98958333333333,Ahmad Jamal (All of You),angel eyes,trio,train
982,Hank Jones,jtd/jonesh-illrememberapril-mrazgwashingtonk-1991-31ce3ec4,89.98958333333333,Hank Jones (Hank Jones Trio),ill remember april,trio,train
983,Bill Evans,jtd/evansb-nardis-gomezemorellm-1973-1a057fb9,109.02994791666666,Bill Evans (Live In Paris 1972 Vol 3),nardis,trio,train
984,Kenny Drew,jtd/drewk-doitthehardway-warewjoep-1957-57d5f9d9,149.82942708333331,Kenny Drew (Pal Joey),do it the hard way,trio,train
985,Oscar Peterson,jtd/petersono-honeydripper-brownrthigpene-1962-b498d90e,69.36979166666666,Oscar Peterson (Night Train),honey dripper,trio,train
986,Tommy Flanagan,jtd/flanagant-minorperhaps-mitchellrjonese-1980-596c142e,119.98958333333333,Tommy Flanagan (Super Session),minor perhaps,trio,train
987,Tommy Flanagan,jtd/flanagant-barbados-bettskdurhamb-1978-55f53728,322.5,Tommy Flanagan (Montreux 77),barbados,trio,train
988,Bill Evans,jtd/evansb-myromancefive-johnsonmlabarberaj-1980-660626b4,38.09895833333333,Bill Evans (Turn Out the Stars The Final Village Vanguard Sessions),my romance,trio,train
989,Bill Evans,jtd/evansb-gloriassteptake1interrupted-lafarosmotianp-1961-af9c1ed7,32.5,Bill Evans (The Complete Village Vanguard Recordings 1961),glorias step,trio,train
990,Hank Jones,jtd/jonesh-datdere-duviviergjacksono-1977-54901a6d,139.98958333333331,Hank Jones (I Remember You),dat dere,trio,train
991,Tommy Flanagan,jtd/flanagant-stlouisblues-mrazgwashingtonk-1989-b8ad6c4c,102.5,Tommy Flanagan (Jazz Poet),st louis blues,trio,train
992,Kenny Barron,jtd/barronk-jackieing-reidrlewisv-1991-6e5f5469,248.31901041666666,Kenny Barron (The Moment),jackieing,trio,train
993,Hank Jones,jtd/jonesh-likesomeoneinlove-duviviergjacksono-1977-75081d2b,69.44921875,Hank Jones (I Remember You),like someone in love,trio,train
994,Ahmad Jamal,jtd/jamala-angeleyes-crosbyifournierv-1960-4d881dbd,142.11979166666666,Ahmad Jamal (The Complete Ahmad Jamal Trio Argo Sessions 195662),angel eyes,trio,train
995,Kenny Barron,jtd/barronk-tourdeforce-carterrcobhamb-2003-9d613861,226.47916666666666,Kenny Barron (Live in Japan 2003),jeepers creepers,trio,train
996,Thelonious Monk,jtd/monkt-niceworkifyoucan-rameygblakeya-1949-705f0b58,117.82942708333333,Thelonious Monk (Complete 1947  1952 Blue Note Recordings),nice work if you can get it,trio,train
997,John Hicks,jtd/hicksj-holditdown-lundycmuhammadi-1987-fbd5eafb,139.95963541666666,John Hicks (Ill Give You Something to Remember Me By),hold it down,trio,train
998,McCoy Tyner,jtd/tynerm-monksdream-sharpeascotta-1989-d2a55a69,239.98958333333331,McCoy Tyner (Live at Sweet Basil),monks dream,trio,train
999,Bill Evans,jtd/evansb-asleepinbee-gomezedejohnettej-1967-b3e732de,109.59895833333333,Bill Evans (At the Montreux Jazz Festival),sleepin bee,trio,train
1000,Tommy Flanagan,jtd/flanagant-withmalicetowardnone-washingtonpnashl-1997-cf99c3f0,119.98958333333333,Tommy Flanagan (Sunset and the Mockingbird),with malice toward none,trio,train
1001,Bill Evans,jtd/evansb-santaclausiscomingto-peacockgmotianp-1966-9adb51a4,86.91927083333333,Bill Evans (The Complete Bill Evans on Verve),santa claus is coming to town,trio,train
1002,McCoy Tyner,jtd/tynerm-bluesonthecorner-carterrwilliamst-1977-84888300,179.98958333333331,McCoy Tyner (Supertrios),blues on the corner,trio,train
1003,Bill Evans,jtd/evansb-youregonnahearfromme-gomezedejohnettej-1967-32729f8c,59.98958333333333,Bill Evans (Some Other Time The Lost Session From the Black Forest),youre gonna hear from me,trio,train
1004,Teddy Wilson,jtd/wilsont-saintlouisblues-hintonmjacksono-1976-0fbaab13,129.98958333333331,Teddy Wilson (Three Little Words),st louis blues,trio,train
1005,Oscar Peterson,jtd/petersono-loveforsale-brownrthigpene-1959-df0db78a,36.799479166666664,Oscar Peterson (Oscar Peterson Plays the Cole Porter Songbook),love for sale,trio,train
1006,Bill Evans,jtd/evansb-autumnleavestake1-lafarosmotianp-1960-5b72f569,149.00911458333331,Bill Evans (Seven Classic Albums),autumn leaves,trio,train
1007,Ahmad Jamal,jtd/jamala-likesomeoneinlove-crosbyifournierv-1960-16d2bf10,57.2265625,Ahmad Jamal (The Complete Ahmad Jamal Trio Argo Sessions 195662),like someone in love,trio,train
1008,Kenny Drew,jtd/drewk-bemylove-russellcblakeya-1951-15d2c22f,89.9296875,Kenny Drew (Howard McGhee  Introducing The Kenny Drew Trio),be my love,trio,train
1009,Bill Evans,jtd/evansb-makesomeonehappy-israelscwisea-1966-1f814ca8,89.98958333333333,Bill Evans (The Best of Bill Evans Live),make someone happy,trio,train
1010,Keith Jarrett,jtd/jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,179.98958333333331,Keith Jarrett (Tribute),all the things you are,trio,train
1011,Bill Evans,jtd/evansb-whatkindoffoolam-israelscbunkerl-1966-0ea92825,72.5,Bill Evans (The Complete Bill Evans on Verve),what kind of fool am i,trio,train
1012,Kenny Barron,jtd/barronk-imconfessin-reidrlewisv-1991-ac107146,118.54947916666666,Kenny Barron (The Moment),im confessin,trio,train
1013,Hank Jones,jtd/hollandd-interface-joneshhigginsb-1989-56f4aaf0,92.5,Hank Jones (The Oracle),interface,trio,train
1014,Bill Evans,jtd/evansb-34skidoo-johnsonmlabarberaj-1980-4ba2e414,29.989583333333332,Bill Evans (The Last Waltz),34 skidoo,trio,train
1015,Kenny Drew,jtd/drewk-lullabyinragtime-rstednthigpene-1982-bb54f5b8,48.459635416666664,Kenny Drew (The Lullaby),lullaby in ragtime,trio,train
1016,Keith Jarrett,jtd/jarrettk-honeysucklerose-peacockgdejohnettej-2001-85766730,159.2890625,Keith Jarrett (My Foolish Heart Live at Montreux),honeysuckle rose,trio,train
1017,Bill Evans,jtd/evansb-wrapyourtroublesindreams-gomezejoep-1966-a7f750ab,79.98958333333333,Bill Evans (The Complete Bill Evans on Verve),wrap your troubles in dreams,trio,train
1018,Ahmad Jamal,jtd/jamala-taterpie-heardjisraely-1992-3d395a12,33.588541666666664,Ahmad Jamal (Chicago Revisited),tater pie,trio,train
1019,Ahmad Jamal,jtd/jamala-speaklow-crosbyifournierv-1960-566dfdda,168.91927083333331,Ahmad Jamal (Ahmad Jamal Eight Classic Albums),speak low,trio,train
1020,Oscar Peterson,jtd/petersono-comedancewithme-brownrthigpene-1959-59a6e2f2,49.98958333333333,Oscar Peterson (A Jazz Portrait of Frank Sinatra),come dance with me,trio,train
1021,Tommy Flanagan,jtd/flanagant-cousinmary-mrazgfostera-1982-3ab53d05,198.96875,Tommy Flanagan (Giant Steps In Memory of John Coltrane),cousin mary,trio,train
1022,McCoy Tyner,jtd/tynerm-inyourownsweetway-davissjonese-1962-81aa6670,109.98958333333333,McCoy Tyner (Inception  Reaching Fourth),in your own sweet way,trio,train
1023,Bill Evans,jtd/evansb-songfrommashsuicideis-johnsonmlabarberaj-1980-ed6edc64,109.25,Bill Evans (Consecration),song from mash suicide is painless,trio,train
1024,Keith Jarrett,jtd/jarrettk-byebyeblackbird-peacockgdejohnettej-1991-bd0b6c14,227.06901041666666,Keith Jarrett (Bye Bye Blackbird),bye bye blackbird,trio,train
1025,Junior Mance,jtd/mancej-sweetgeorgiabrown-cunninghambdawsona-1966-5e7f4aa7,159.98958333333331,Junior Mance (I Believe to My Soul),sweet georgia brown,trio,train
1026,Bill Evans,jtd/evansb-thedayofwineand-johnsonmlabarberaj-1980-2d2f7b0f,109.98958333333333,Bill Evans (His Last Concert in Germany),days of wine roses,trio,train
1027,Oscar Peterson,jtd/petersono-softwinds-orstednhayesl-1971-2018b427,139.98958333333331,Oscar Peterson (Great Connection),soft winds,trio,train
1028,Cedar Walton,jtd/waltonc-fantasyind-jonesshigginsb-1974-c215a217,199.98958333333331,Cedar Walton (Pit Inn),fantasy in d,trio,train
1029,Bill Evans,jtd/evansb-nardis-gomezedejohnettej-1967-8fce94b9,67.09895833333333,Bill Evans (Another Time  The Hilversum Concert),nardis,trio,train
1030,Hank Jones,jtd/jonesh-flymetothemoon-wongdpearsonl-2010-ce7f21e1,47.55989583333333,Hank Jones (Last Recording),fly me to the moon,trio,train
1031,Keith Jarrett,jtd/jarrettk-santaclausiscomingto-peacockgdejohnettej-1998-22e04d0b,216.95963541666666,Keith Jarrett (After the Fall),santa claus is coming to town,trio,train
1032,Kenny Drew,jtd/drewk-hushabyejewishfolktune-rstednthigpene-1982-038b2bd4,118.81901041666666,Kenny Drew (The Lullaby),hushabye,trio,train
1033,Bill Evans,jtd/evansb-seesaw-gomezemorellm-1975-edd779ef,98.859375,Bill Evans (But Beautiful),seesaw,trio,train
1034,Kenny Drew,jtd/drewk-bassment-friesendjarvisc-1977-ef70dba2,119.72916666666666,Kenny Drew (Ruby My Dear),bassment,trio,train
1035,Kenny Drew,jtd/drewk-itcouldhappentoyou-jonesscobbj-1981-af1aec37,129.98958333333331,Kenny Drew (All the Things You Are),it could happen to you,trio,train
1036,Bill Evans,jtd/evansb-likesomeoneinlove-johnsonmlabarberaj-1980-f8b4f914,79.98958333333333,Bill Evans (Turn Out the Stars The Final Village Vanguard Sessions),like someone in love,trio,train
1037,Oscar Peterson,jtd/brownr-sttropez-petersononashl-1994-fe100202,127.61979166666666,Oscar Peterson (Some of My Best Friends Are the Piano Players),st tropez,trio,train
1038,Tommy Flanagan,jtd/flanagant-tintindeo-washingtonpnashl-1997-2177a449,166.97916666666666,Tommy Flanagan (Sunset and the Mockingbird),tin tin deo,trio,train
1039,Stanley Cowell,jtd/cowells-calmassey-mcclurercopelandk-1989-b9a2577a,139.72916666666666,Stanley Cowell (Sienna),cal massey,trio,train
1040,Ahmad Jamal,jtd/jamala-frankstune-nasserjgantf-1967-7eb113ca,79.98958333333333,Ahmad Jamal (At the Top Poinciana Revisited),franks tune,trio,train
1041,Keith Jarrett,jtd/jarrettk-lisbonstomp-hadencmotianp-1968-8994c848,169.09895833333331,Keith Jarrett (Somewhere Before The Atlantic Years 19681975),lisbon stomp,trio,train
1042,Chick Corea,jtd/coreac-somedaymyprincewillcome-patituccijweckld-1989-2fea2bf0,63.359375,Chick Corea (Chick Corea Akoustic Band),someday my prince will come,trio,train
1043,Tommy Flanagan,jtd/flanagant-flanagansshenanigans-lundgaardjnashl-1993-a58fe294,99.00911458333333,Tommy Flanagan (Flanagans Shenanigans),flanagans shenanigans,trio,train
1044,McCoy Tyner,jtd/tynerm-giantsteps-sharpeascotta-1991-e37a49fc,79.98958333333333,McCoy Tyner (Remembering John),giant steps,trio,train
1045,Oscar Peterson,jtd/petersono-soon-brownrthigpene-1961-011c34fb,129.98958333333331,Oscar Peterson (The London House Sessions),soon,trio,train
1046,Bill Evans,jtd/evansb-sowhat-gomezemorellm-1975-ed3a8a72,158.51432291666666,Bill Evans (Blue in Green The Concert in Canada),so what,trio,train
1047,Kenny Drew,jtd/drewk-astrangerinparadise-rstedntootiea-1974-a219deb8,159.98958333333331,Kenny Drew (Dark Beauty),a stranger in paradise,trio,train
1048,Thelonious Monk,jtd/monkt-wellyouneedntalternatetake-rameygblakeya-1949-dd53087d,119.98958333333333,Thelonious Monk (Complete 1947  1952 Blue Note Recordings),well you neednt,trio,train
1049,Kenny Barron,jtd/barronk-howdeepistheocean-reidrlewisv-1991-7865efb5,107.29947916666666,Kenny Barron (The Moment),how deep is the ocean,trio,train
1050,Kenny Drew,jtd/drewk-yesterdays-russellcblakeya-1951-3dc431b2,167.76953125,Kenny Drew (Howard McGhee  Introducing The Kenny Drew Trio),yesterdays,trio,train
1051,Cedar Walton,jtd/waltonc-alonetogether-carterrdejohnettej-1983-f04ec272,98.98307291666666,Cedar Walton (Walton Carter  DeJohnette),alone together,trio,train
1052,Ahmad Jamal,jtd/jamala-imoldfashioned-crosbyifournierv-1961-7a0348c6,177.90885416666666,Ahmad Jamal (The Complete 1961 Alhambra Performances),im old fashioned,trio,train
1053,Thelonious Monk,jtd/monkt-wellyouneednt-rameygblakeya-1948-7ee289f0,112.43880208333333,Thelonious Monk (19441948),well you neednt,trio,train
1054,Tommy Flanagan,jtd/flanagant-thebalancedscales-lundgaardjnashl-1993-c5831559,122.5,Tommy Flanagan (Flanagans Shenanigans),the balanced scales,trio,train
1055,John Hicks,jtd/hicksj-softlyasinamorning-drummondrmuhammadi-1990-0b6ecfa4,167.109375,John Hicks (Softly as in a Morning Sunrise),softly as in a morning sunrise,trio,train
1056,Junior Mance,jtd/mancej-fallinginlovewithlove-bettskwilliamsj-1997-a56cfee6,139.08984375,Junior Mance (The Floating Jazz Festival Trio 1997),falling in love with love,trio,train
1057,Bill Evans,jtd/evansb-billshittune-johnsonmlabarberaj-1980-aadbd377,99.98958333333333,Bill Evans (Turn Out the Stars The Final Village Vanguard Sessions),bills hit tune,trio,train
1058,McCoy Tyner,jtd/tynerm-impressions-carterrjonese-1975-cbdd2d66,139.98958333333331,McCoy Tyner (Trident),so what,trio,train
1059,Oscar Peterson,jtd/petersono-thegravywaltz-brownrthigpene-1964-5603a4da,119.98958333333333,Oscar Peterson (Affinity),the gravy waltz,trio,train
1060,Stanley Cowell,jtd/cowells-evidence-mcclurercopelandk-1989-2b14bd69,179.98958333333331,Stanley Cowell (Sienna),just you just me,trio,train
1061,Bill Evans,jtd/evansb-daysofwineroses-johnsonmlabarberaj-1980-1dbb441c,112.5,Bill Evans (Turn Out the Stars The Final Village Vanguard Sessions),days of wine roses,trio,train
1062,Chick Corea,jtd/coreac-howhesingsnowhe-vitoumhaynesr-1968-b4972ab0,189.39973958333331,Chick Corea (Now He Sings Now He Sobs),how he sings now he sobs,trio,train
1063,McCoy Tyner,jtd/tynerm-neverletmego-clarkesfostera-1999-37c19581,66.609375,McCoy Tyner (McCoy Tyner with Stanley Clarke and Al Foster),never let me go,trio,train
1064,Bill Evans,jtd/evansb-gonewiththewind-gomezejoep-1966-20531312,76.77994791666666,Bill Evans (The Complete Bill Evans on Verve),gone with the wind,trio,train
1065,McCoy Tyner,jtd/tynerm-tranelike-clarkesfostera-1998-f61d311f,139.95963541666666,McCoy Tyner (McCoy Tyner with Stanley Clarke and Al Foster),tranelike,trio,train
1066,Bill Evans,jtd/evansb-turnoutthestars-gomezemorellm-1974-c60c9a34,66.90885416666666,Bill Evans (Complete Fantasy Recordings),turn out the stars,trio,train
1067,Junior Mance,jtd/mancej-thejumpinblues-cranshawbrokerm-1963-12545e2f,267.9895833333333,Junior Mance (Juniors Blues),the jumpin blues,trio,train
1068,Bill Evans,jtd/evansb-myromance-johnsonmlabarberaj-1980-607b3caf,38.01953125,Bill Evans (Turn Out the Stars The Final Village Vanguard Sessions),my romance,trio,train
1069,Bill Evans,jtd/evansb-autumnleavestake2-lafarosmotianp-1960-5b35a288,116.00911458333333,Bill Evans (Seven Classic Albums),autumn leaves,trio,train
1070,Tommy Flanagan,jtd/flanagant-allgodschildren-mrazgfostera-1986-3f6be687,159.98958333333331,Tommy Flanagan (Nights at the Vanguard),all gods children,trio,train
1071,Bill Evans,jtd/evansb-likesomeoneinlove-johnsonmlabarberaj-1980-2f3f1a5e,78.00911458333333,Bill Evans (Consecration),like someone in love,trio,train
1072,McCoy Tyner,jtd/tynerm-oneforhonor-fambroughcfostera-1978-a21e1ea4,98.99479166666666,McCoy Tyner (Horizon),one for honor,trio,train
1073,Kenny Barron,jtd/barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e,189.62890625,Kenny Barron (Live),someday my prince will come,trio,train
1074,John Hicks,jtd/hicksj-minormishap-williamsbhayesl-2006-993c7814,89.98958333333333,John Hicks (On the Wings of an Eagle),minor mishap,trio,train
1075,Bill Evans,jtd/evansb-lettertoevan-johnsonmlabarberaj-1980-5ec201fe,97.01953125,Bill Evans (Consecration),letter to evan,trio,train
1076,Cedar Walton,jtd/waltonc-roundmidnight-jonesshigginsb-1974-b78beac8,119.98958333333333,Cedar Walton (Pit Inn),round midnight,trio,train
1077,Bill Evans,jtd/evansb-ongreendolphinstreet-gomezejoep-1966-bd6b7954,29.989583333333332,Bill Evans (The Complete Bill Evans on Verve),green dolphin street,trio,train
1078,McCoy Tyner,jtd/tynerm-momentsnotice-carterrwilliamst-1977-279743d1,79.98958333333333,McCoy Tyner (Supertrios),moments notice,trio,train
1079,Kenny Barron,jtd/barronk-timewastake2-williamsbrileyb-1984-9754814e,119.98958333333333,Kenny Barron (Green Chimneys),time was,trio,train
1080,Bill Evans,jtd/evansb-ongreendolphinstreet-gomezedejohnettej-1967-e580f47d,79.109375,Bill Evans (Some Other Time The Lost Session From the Black Forest),green dolphin street,trio,train
1081,Bill Evans,jtd/evansb-youregonnahearfromme-gomezedejohnettej-1967-ed653c5d,109.98958333333333,Bill Evans (Another Time  The Hilversum Concert),youre gonna hear from me,trio,train
1082,Junior Mance,jtd/mancej-iletasonggo-bettskwilliamsj-1995-d70c3a5e,208.80989583333331,Junior Mance (The Floating Jazz Festival Trio 1995),i let a song go out of my heart,trio,train
1083,Kenny Barron,jtd/barronk-theonlyone-drummondrrileyb-1990-724c953d,158.79947916666666,Kenny Barron (The Only One),the only one,trio,train
1084,Bill Evans,jtd/evansb-sugarplum-gomezemorellm-1972-2232ff2c,39.98958333333333,Bill Evans (Live In Paris 1972 Vol 2),sugarplum,trio,train
1085,Junior Mance,jtd/mancej-fordancersonly-carterrrokerm-1962-7662be56,36.98958333333333,Junior Mance (Happy Time),for dancers only,trio,train
1086,Ahmad Jamal,jtd/jamala-stareyes-crosbyifournierv-1960-72ca799a,109.98958333333333,Ahmad Jamal (Ahmad Jamal Eight Classic Albums),star eyes,trio,train
1087,Oscar Peterson,jtd/petersono-aslongastheresmusic-brownrthigpene-1961-cd88604b,129.98958333333331,Oscar Peterson (The London House Sessions),as long as theres music,trio,train
1088,Bill Evans,jtd/evansb-gonewiththewind-gomezejoep-1966-eb135dab,69.98958333333333,Bill Evans (The Complete Bill Evans on Verve),gone with the wind,trio,train
1089,Tommy Flanagan,jtd/flanagant-betweenthedevilandthe-washingtonpnashl-1996-fec7786e,92.5,Tommy Flanagan (Sea Changes),between the devil and the deep blue sea,trio,train
1090,Bill Evans,jtd/evansb-34skidoo-johnsonmlabarberaj-1979-cf4fe905,99.98958333333333,Bill Evans (The Paris Concert Edition Two),34 skidoo,trio,train
1091,Bill Evans,jtd/evansb-five-koticktmotianp-1958-0edf0a58,105.97916666666666,Bill Evans (Kind of Evans),five,trio,train
1092,Kenny Drew,jtd/drewk-lullabyofbirdland-rstednthigpene-1982-701b46df,109.89973958333333,Kenny Drew (The Lullaby),love me or leave me,trio,train
1093,Kenny Drew,jtd/drewk-russianlullaby-rstednthigpene-1982-98e1b8ec,62.5,Kenny Drew (The Lullaby),russian lullaby,trio,train
1094,Keith Jarrett,jtd/jarrettk-fivebrothers-peacockgdejohnettej-2002-d66d0b3f,357.29947916666663,Keith Jarrett (The OutofTowners),i got rhythm,trio,train
1095,Tommy Flanagan,jtd/flanagant-seachanges-washingtonpnashl-1996-3dfc9604,109.98958333333333,Tommy Flanagan (Sea Changes),sea changes,trio,train
1096,John Hicks,jtd/hicksj-mymondaydate-dolphindbrooksc-2003-a324ffcb,117.71875,John Hicks (Fathas Day An Earl Hines Songbook),a monday date,trio,train
1097,McCoy Tyner,jtd/tynerm-bluesformax-sharpeahayesl-1987-f3781383,149.98958333333331,McCoy Tyner (Bon Voyage),blues for max,trio,train
1098,Bill Evans,jtd/evansb-daysofwineroses-johnsonmlabarberaj-1980-c2ab551d,109.95963541666666,Bill Evans (Turn Out the Stars The Final Village Vanguard Sessions),days of wine roses,trio,train
1099,Hank Jones,jtd/jonesh-hanksblues-duviviergdawsona-1978-47611deb,119.98958333333333,Hank Jones (Compassion),hanks blues,trio,train
1100,Kenny Barron,jtd/barronk-bouncinwithbud-carterrcobhamb-2003-543d8217,209.09895833333331,Kenny Barron (Live in Japan 2003),bouncin with bud,trio,train
1101,Gene Harris,jtd/brownr-myromance-harrisghamiltonj-1991-037d485a,149.98958333333331,Gene Harris (3 Dimensional),my romance,trio,train
1102,Bill Evans,jtd/evansb-always-peacockgmotianp-1963-6ccff543,54.43880208333333,Bill Evans (Trio 64),always,trio,train
1103,Bill Evans,jtd/evansb-turnoutthestars-johnsonmlabarberaj-1980-d786dfbb,169.98958333333331,Bill Evans (The Last Waltz),turn out the stars,trio,train
1104,Chick Corea,jtd/coreac-windows-vitoumhaynesr-1970-396023de,106.81901041666666,Chick Corea (Circling In),windows,trio,train
1105,Kenny Barron,jtd/barronk-surreywiththefringeon-drummondrrileyb-1990-e6533db7,129.98958333333331,Kenny Barron (The Only One),surrey with the fringe on top,trio,train
1106,Keith Jarrett,jtd/jarrettk-ifiwereabell-peacockgdejohnettej-2001-a567c076,399.9895833333333,Keith Jarrett (Up for It),if i were a bell,trio,train
1107,Keith Jarrett,jtd/jarrettk-fivebrothers-peacockgdejohnettej-2001-aee0fe74,239.64973958333331,Keith Jarrett (My Foolish Heart Live at Montreux),i got rhythm,trio,train
1108,Oscar Peterson,jtd/petersono-tricrotism-brownrthigpene-1964-e3a641bd,150.00911458333331,Oscar Peterson (In Tokyo 1964),tricotism,trio,train
1109,Junior Mance,jtd/mancej-taketheatrain-cleyndertabrowns-2000-faecc5f8,175.26953125,Junior Mance (Blues Ballads and a Train),take the a train,trio,train
1110,Bill Evans,jtd/evansb-myromancetake2-lafarosmotianp-1961-6f77858d,106.75,Bill Evans (The Complete Village Vanguard Recordings 1961),my romance,trio,train
1111,Oscar Peterson,jtd/petersono-iloveyou-mrazgpricer-1970-d6e695d7,69.98958333333333,Oscar Peterson (Two Originals Walking the Line  Another Day),i love you,trio,train
1112,Bill Evans,jtd/evansb-nardis-gomezemorellm-1969-f47d7f6a,66.859375,Bill Evans (A Jazz Hour With Bill Evans Autumn Leaves),nardis,trio,train
1113,Bill Evans,jtd/evansb-nocovernominimum-koticktmotianp-1956-f675dc4a,179.98958333333331,Bill Evans (New Jazz Conceptions),no cover no minimum,trio,train
1114,Ahmad Jamal,jtd/jamala-likesomeoneinlovealternative-crosbyifournierv-1960-70b3bb7d,38.889322916666664,Ahmad Jamal (The Complete Ahmad Jamal Trio Argo Sessions 195662),like someone in love,trio,train
1115,Bill Evans,jtd/evansb-midnightmood-gomezemorellm-1974-eeb2b914,52.5,Bill Evans (Live in Europe II),midnight mood,trio,train
1116,Tommy Flanagan,jtd/flanagant-5021-mrazgjonese-1978-aa26e2b9,109.98958333333333,Tommy Flanagan (Confirmation),5021,trio,train
1117,Oscar Peterson,jtd/petersono-lildarlin-orstednhannaj-1974-3a4f90c3,69.86979166666666,Oscar Peterson (Oscar Peterson in Russia),lil darlin,trio,train
1118,McCoy Tyner,jtd/tynerm-thenighthasathousand-clarkesfostera-1999-d4782113,62.5,McCoy Tyner (Afro Blue),the night has a thousand eyes,trio,train
1119,Junior Mance,jtd/mancej-milestones-thompsondalleynea-1997-a35d3e19,148.70963541666666,Junior Mance (Milestones),milestones,trio,train
1120,Ahmad Jamal,jtd/jamala-allison-nasserjgantf-1966-9784ab38,109.68880208333333,Ahmad Jamal (Heat Wave),allison,trio,train
1121,Thelonious Monk,jtd/monkt-misterioso-mckibbonablakeya-1971-e64ad948,269.7890625,Thelonious Monk (The Complete Black Lion and Vogue Recordings of Thelonious Monk),misterioso,trio,train
1122,Hank Jones,jtd/jonesh-speaklow-mcbrideccobbj-2006-53d6b837,129.98958333333331,Hank Jones (West of 5th),speak low,trio,train
1123,Bill Evans,jtd/evansb-howdeepistheocean-gomezemorellm-1969-29cee7e1,109.98958333333333,Bill Evans (Jazzhouse),how deep is the ocean,trio,train
1124,Bill Evans,jtd/evansb-stellabystarlight-israelscbunkerl-1964-97b68a98,69.98958333333333,Bill Evans (The Complete Bill Evans on Verve),stella by starlight,trio,train
1125,Keith Jarrett,jtd/jarrettk-ifiwereabell-peacockgdejohnettej-1993-4a223fa3,268.8294270833333,Keith Jarrett (Live at Open Theater East),if i were a bell,trio,train
1126,Bill Evans,jtd/evansb-likesomeoneinlove-johnsonmlabarberaj-1980-c67ffd5a,119.98958333333333,Bill Evans (Complete Live at Ronnie Scotts 1980),like someone in love,trio,train
1127,Tommy Flanagan,jtd/flanagant-theconman-mrazgnashl-1990-579feaf0,89.98958333333333,Tommy Flanagan (Beyond the Bluebird),the con man,trio,train
1128,Bill Evans,jtd/evansb-lettertoevan-johnsonmlabarberaj-1980-45b5ef54,89.98958333333333,Bill Evans (Complete Live at Ronnie Scotts 1980),letter to evan,trio,train
1129,Abdullah Ibrahim,jtd/ibrahima-duke-bullockbkunenes-2001-0914cb19,108.79947916666666,Abdullah Ibrahim (African Magic),duke,trio,train
1130,Bill Evans,jtd/evansb-nightandday-jonessjoep-1958-8d805cd6,117.5,Bill Evans (Everybody Digs Bill Evans),night and day,trio,train
1131,Kenny Drew,jtd/drewk-eveningatthepark-vindingmthigpene-1981-cb60e40d,79.98958333333333,Kenny Drew (Your Soft Eyes),evening at the park,trio,train
1132,Oscar Peterson,jtd/petersono-putonahappyface-brownrthigpene-1961-fde602cb,290.0,Oscar Peterson (The London House Sessions),put on a happy face,trio,train
1133,Ahmad Jamal,jtd/jamala-broadway-crosbyifournierv-1961-9ae21a8d,106.54947916666666,Ahmad Jamal (The Complete 1961 Alhambra Performances),broadway,trio,train
1134,Junior Mance,jtd/mancej-broadway-tanakahwilliamsj-2007-97763166,172.5,Junior Mance (Live at Caf Loup),broadway,trio,train
1135,Oscar Peterson,jtd/petersono-sometimesimhappy-brownrthigpene-1961-4e1d3c4f,267.6497395833333,Oscar Peterson (The London House Sessions),sometimes im happy,trio,train
1136,Ahmad Jamal,jtd/jamala-littleoldlady-crosbyifournierv-1959-602da9e5,239.98958333333331,Ahmad Jamal (The Complete Ahmad Jamal Trio Argo Sessions 195662),little old lady,trio,train
1137,Chick Corea,jtd/coreac-perisscope-gomezemotianp-2010-f8c0d376,109.98958333333333,Chick Corea (Further Explorations),peris scope,trio,train
1138,Oscar Peterson,jtd/petersono-youlookgoodtome-brownrthigpene-1964-94c8d44d,79.9296875,Oscar Peterson (We Get Requests),you look good to me,trio,train
1139,Cedar Walton,jtd/waltonc-imeanyou-williamsdhigginsb-1992-eaae5d79,159.98958333333331,Cedar Walton (Manhattan Afternoon),i mean you,trio,train
